DATE (MM/DD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Precipitation (Accumulated) [mm],Moisture,Albedo (CMP11)
01-01,07:40,8.53993,1.0781,122.69154,7.202,1.503,-5.597,0.0,2.2,0.0,0.0,0.1883
01-01,07:50,20.5986,-0.143419,124.34405,6.646,1.306,-5.494,13.0,2.2,0.0,0.0,0.1758
01-01,08:00,28.8356,0.8259,126.02976,8.66,2.48,-5.12,25.0,5.7,0.0,0.0,0.2118
01-01,08:10,44.9636,4.40147,127.75072,9.21,2.811,-4.889,37.0,5.45,0.0,0.0,0.2146
01-01,08:20,31.3732,0.583573,129.5089,9.61,3.002,-4.798,15.0,8.7,0.0,0.0,0.1984
01-01,08:30,40.3076,1.92379,131.30618,8.93,2.771,-4.629,18.0,5.95,0.0,0.0,0.1829
01-01,08:40,45.4534,20.9145,133.14433,9.25,2.87,-4.73,10.0,6.95,0.0,0.0,0.1929
01-01,08:50,75.4385,84.2057,135.02497,9.69,3.13,-4.47,14.0,8.95,0.0,0.0,0.2284
01-01,09:00,106.26,137.297,136.94958,10.09,3.383,-4.517,25.0,7.45,0.0,0.0,0.2366
01-01,09:10,86.3634,63.891,138.91943,9.87,3.166,-4.634,28.0,6.7,0.0,0.0,0.222
01-01,09:20,49.2696,1.94852,140.93557,9.61,3.114,-4.486,12.0,5.95,0.0,0.0,0.1809
01-01,09:30,327.643,882.424,142.99879,10.53,3.683,-4.217,13.0,4.95,0.0,0.0,0.2576
01-01,09:40,348.738,834.538,145.10957,10.59,3.486,-4.714,18.0,1.45,0.0,0.0,0.2444
01-01,09:50,421.644,751.463,147.26805,10.93,3.581,-5.019,59.0,2.45,0.0,0.0,0.2293
01-01,10:00,398.952,604.358,149.474,11.37,3.927,-4.773,81.0,1.95,0.0,0.0,0.229
01-01,10:10,155.007,3.71898,151.72674,10.54,3.437,-4.863,92.0,2.7,0.0,0.0,0.1911
01-01,10:20,129.522,0.232439,154.02518,9.76,3.052,-5.038,95.0,3.95,0.0,0.0,0.1899
01-01,10:30,119.317,1.40452,156.3677,10.47,3.561,-4.439,95.0,4.7,0.0,0.0,0.1868
01-01,10:40,137.818,0.232436,158.7522,9.96,3.44,-4.16,96.0,8.45,0.0,0.0,0.1854
01-01,10:50,119.869,0.138473,161.17606,9.53,3.257,-3.843,97.0,3.45,0.0,0.0,0.1843
01-01,11:00,149.316,-0.004945,163.63613,8.42,2.862,-3.538,96.0,13.2,0.0,0.0,0.183
01-01,11:10,214.098,0.529164,166.12875,7.969,2.488,-3.912,96.0,7.45,0.0,0.0,0.1824
01-01,11:20,170.901,0.781389,168.64978,7.653,2.39,-3.81,97.0,4.7,0.0,0.0,0.185
01-01,11:30,139.679,1.36495,171.19463,7.49,2.275,-3.825,97.0,4.95,0.0,0.0,0.1837
01-01,11:40,109.313,0.430251,173.75835,7.441,1.941,-4.659,97.0,4.7,0.0,0.0,0.182
01-01,11:50,89.764,0.984141,176.33565,7.737,2.006,-4.894,96.0,3.2,0.0,0.0,0.175
01-01,12:00,82.322,0.163202,178.92102,7.951,1.433,-7.067,91.0,1.2,0.0,0.0,0.1692
01-01,12:10,83.6113,0.588517,181.50882,8.03,1.485,-7.115,89.0,2.45,0.0,0.0,0.1705
01-01,12:20,123.318,37.2544,184.09335,8.0,1.674,-6.526,90.0,1.2,0.0,0.0,0.1853
01-01,12:30,109.412,0.63797,186.66897,7.851,1.804,-5.796,91.0,2.7,0.0,0.0,0.1731
01-01,12:40,167.749,1.38474,189.23021,9.08,1.71,-8.49,90.0,4.7,0.0,0.0,0.1851
01-01,12:50,228.62,3.43216,191.77182,8.71,1.851,-7.149,91.0,4.45,0.0,0.0,0.1827
01-01,13:00,221.843,2.96235,194.2889,8.58,1.955,-6.545,89.0,3.2,0.0,0.0,0.1815
01-01,13:10,221.541,2.56669,196.77694,8.37,1.901,-6.299,90.0,4.2,0.0,0.0,0.1837
01-01,13:20,219.55,22.2992,199.23185,8.46,1.933,-6.367,82.0,3.45,0.0,0.0,0.1867
01-01,13:30,511.046,970.1,201.65007,9.55,2.453,-6.637,48.0,4.45,0.0,0.0,0.2257
01-01,13:40,440.591,961.558,204.02852,10.55,2.767,-7.133,43.0,5.2,0.0,0.0,0.2297
01-01,13:50,418.218,947.09,206.36465,10.59,2.824,-7.076,19.0,5.7,0.0,0.0,0.2301
01-01,14:00,329.853,660.923,208.65645,9.81,2.407,-7.293,12.0,4.95,0.0,0.0,0.2274
01-01,14:10,110.652,37.6203,210.90238,11.29,3.054,-7.446,33.0,3.45,0.0,0.0,0.1781
01-01,14:20,182.82,51.25,213.1014,9.99,2.332,-7.868,65.0,0.95,0.0,0.0,0.1826
01-01,14:30,369.103,905.812,215.25293,12.08,3.546,-7.154,34.0,1.2,0.0,0.0,0.2353
01-01,14:40,318.094,888.494,217.35678,10.7,2.847,-7.053,16.0,1.7,0.0,0.0,0.236
01-01,14:50,286.971,860.357,219.41315,8.84,1.758,-7.742,5.0,7.95,0.0,0.0,0.2438
01-01,15:00,260.576,838.131,221.42257,8.55,1.554,-7.946,4.0,9.95,0.0,0.0,0.2485
01-01,15:10,235.635,822.348,223.38588,8.99,1.758,-8.142,7.0,5.7,0.0,0.0,0.2511
01-01,15:20,206.382,785.462,225.30416,9.02,1.7,-8.2,12.0,5.2,0.0,0.0,0.2531
01-01,15:30,172.702,709.573,227.17872,8.53,1.431,-8.369,7.0,8.2,0.0,0.0,0.2559
01-01,15:40,151.756,697.874,229.01105,8.42,1.434,-8.166,5.0,5.2,0.0,0.0,0.2574
01-01,15:50,121.789,642.339,230.80282,8.25,1.403,-7.797,7.0,3.45,0.0,0.0,0.2568
